scraped_at_kst,rank,name,code,search_ratio,price,change,change_pct,volume,open,high,low,per,roe
2026-04-22T00:47:33+09:00,24,미래에셋증권,006800,0.90%,"68,800",하락 200,-0.29%,"2,185,006","69,900","70,200","68,000",31.94,12.36
2026-04-22T00:47:33+09:00,25,엘앤에프,066970,0.87%,"196,400","상승 12,700",+6.91%,"1,447,273","189,100","197,000","180,000",-13.65,-76.95
2026-04-22T00:47:33+09:00,26,포스코퓨처엠,003670,0.86%,"256,500","상승 20,000",+8.46%,"743,637","242,000","257,000","239,000",664.51,0.92
2026-04-22T00:47:33+09:00,27,삼성E&A,028050,0.85%,"51,700","상승 2,400",+4.87%,"3,496,390","49,900","52,400","49,700",16.41,13.76
2026-04-22T00:47:33+09:00,28,HD현대중공업,329180,0.84%,"576,000","상승 52,000",+9.92%,"755,399","532,000","578,000","529,000",36.68,18.82
2026-04-22T00:47:33+09:00,29,한화솔루션,009830,0.82%,"45,450","상승 2,450",+5.70%,"3,871,235","43,650","45,900","43,000",-12.19,-7.01
2026-04-22T00:47:33+09:00,30,펄어비스,263750,0.79%,"54,400",상승 400,+0.74%,"617,819","53,700","55,100","53,300",-415.27,-1.05
2026-04-22T01:35:42+09:00,1,삼성전자,005930,10.01%,"219,000","상승 4,500",+2.10%,"16,705,245","218,000","220,000","216,000",33.36,10.85
2026-04-22T01:35:42+09:00,2,SK하이닉스,000660,7.42%,"1,224,000","상승 58,000",+4.97%,"3,135,003","1,196,000","1,228,000","1,193,000",20.76,44.15
2026-04-22T01:35:42+09:00,3,삼성SDI,006400,4.77%,"645,000","상승 107,000",+19.89%,"2,532,223","570,000","648,000","557,000",-77.48,-3.15
2026-04-22T01:35:42+09:00,4,현대차,005380,3.38%,"546,000","상승 19,000",+3.61%,"946,609","534,000","548,000","530,000",15.45,8.41
2026-04-22T01:35:42+09:00,5,대우건설,047040,3.20%,"32,850","상승 4,750",+16.90%,"94,197,868","28,950","34,650","28,850",-14.97,-23.89
2026-04-22T01:35:42+09:00,6,두산에너빌리티,034020,2.65%,"115,700","상승 4,700",+4.23%,"4,773,848","113,500","116,400","112,600",876.52,1.11
2026-04-22T01:35:42+09:00,7,삼성전기,009150,2.51%,"772,000","상승 92,000",+13.53%,"1,092,504","687,000","779,000","686,000",84.84,7.70
2026-04-22T01:35:42+09:00,8,POSCO홀딩스,005490,2.44%,"421,500","상승 32,000",+8.22%,"1,024,414","398,000","422,000","396,000",52.13,1.18
2026-04-22T01:35:42+09:00,9,에코프로,086520,2.17%,"163,700","상승 8,100",+5.21%,"2,443,999","159,700","164,800","157,100",-148.41,-8.39
2026-04-22T01:35:42+09:00,10,LG에너지솔루션,373220,2.09%,"478,000","상승 49,000",+11.42%,"1,363,543","441,500","478,000","434,000",-104.25,-5.19
2026-04-22T01:35:42+09:00,11,씨아이에스,222080,1.81%,"16,310","상한가 3,760",+29.96%,"43,748,247","12,940","16,310","12,910",43.96,5.83
2026-04-22T01:35:42+09:00,12,주성엔지니어링,036930,1.78%,"118,900","상한가 27,400",+29.95%,"10,101,846","95,900","118,900","93,400",157.48,6.17
2026-04-22T01:35:42+09:00,13,LIG디펜스앤에어로스페이스,079550,1.71%,"909,000","하락 12,000",-1.30%,"165,856","918,000","929,000","899,000",78.93,19.20
2026-04-22T01:35:42+09:00,14,삼천당제약,000250,1.69%,"475,500","하락 2,000",-0.42%,"246,604","490,500","502,000","461,000","2,122.77",1.94
2026-04-22T01:35:42+09:00,15,대한광통신,010170,1.48%,"15,700",상승 510,+3.36%,"35,364,670","15,380","15,870","14,020",-64.88,-52.05
2026-04-22T01:35:42+09:00,16,NAVER,035420,1.40%,"214,000",상승 500,+0.23%,"541,313","215,000","215,500","211,500",17.29,7.37
2026-04-22T01:35:42+09:00,17,삼성중공업,010140,1.37%,"30,200","상승 1,650",+5.78%,"7,744,560","28,750","30,450","28,650",48.71,13.74
2026-04-22T01:35:42+09:00,18,에코프로비엠,247540,1.34%,"220,500","상승 10,500",+5.00%,"962,694","214,000","220,500","211,000",547.15,2.29
2026-04-22T01:35:42+09:00,19,한화오션,042660,1.20%,"131,200","상승 2,500",+1.94%,"1,915,814","129,500","131,200","128,400",32.27,22.59
2026-04-22T01:35:42+09:00,20,하이브,352820,1.13%,"249,000","하락 6,000",-2.35%,"456,634","258,000","258,000","244,000",-43.89,-7.33
2026-04-22T01:35:42+09:00,21,GS건설,006360,1.11%,"43,100","상승 5,050",+13.27%,"10,077,932","39,100","44,450","39,000",39.43,2.03
2026-04-22T01:35:42+09:00,22,대한전선,001440,1.09%,"41,550","상승 1,150",+2.85%,"10,591,177","40,600","42,850","40,500",91.92,5.48
2026-04-22T01:35:42+09:00,23,한미반도체,042700,1.06%,"295,000","상승 8,000",+2.79%,"495,400","287,500","295,000","287,500",132.11,34.76
2026-04-22T01:35:42+09:00,24,미래에셋증권,006800,0.90%,"68,800",하락 200,-0.29%,"2,185,006","69,900","70,200","68,000",31.94,12.36
2026-04-22T01:35:42+09:00,25,엘앤에프,066970,0.87%,"196,400","상승 12,700",+6.91%,"1,447,273","189,100","197,000","180,000",-13.65,-76.95
2026-04-22T01:35:42+09:00,26,포스코퓨처엠,003670,0.86%,"256,500","상승 20,000",+8.46%,"743,637","242,000","257,000","239,000",664.51,0.92
2026-04-22T01:35:42+09:00,27,삼성E&A,028050,0.85%,"51,700","상승 2,400",+4.87%,"3,496,390","49,900","52,400","49,700",16.41,13.76
2026-04-22T01:35:42+09:00,28,HD현대중공업,329180,0.84%,"576,000","상승 52,000",+9.92%,"755,399","532,000","578,000","529,000",36.68,18.82
2026-04-22T01:35:42+09:00,29,한화솔루션,009830,0.82%,"45,450","상승 2,450",+5.70%,"3,871,235","43,650","45,900","43,000",-12.19,-7.01
2026-04-22T01:35:42+09:00,30,펄어비스,263750,0.79%,"54,400",상승 400,+0.74%,"617,819","53,700","55,100","53,300",-415.27,-1.05
2026-04-22T01:45:56+09:00,1,삼성전자,005930,10.01%,"219,000","상승 4,500",+2.10%,"16,705,245","218,000","220,000","216,000",33.36,10.85
2026-04-22T01:45:56+09:00,2,SK하이닉스,000660,7.42%,"1,224,000","상승 58,000",+4.97%,"3,135,003","1,196,000","1,228,000","1,193,000",20.76,44.15
2026-04-22T01:45:56+09:00,3,삼성SDI,006400,4.77%,"645,000","상승 107,000",+19.89%,"2,532,223","570,000","648,000","557,000",-77.48,-3.15
2026-04-22T01:45:56+09:00,4,현대차,005380,3.38%,"546,000","상승 19,000",+3.61%,"946,609","534,000","548,000","530,000",15.45,8.41
2026-04-22T01:45:56+09:00,5,대우건설,047040,3.20%,"32,850","상승 4,750",+16.90%,"94,197,868","28,950","34,650","28,850",-14.97,-23.89
2026-04-22T01:45:56+09:00,6,두산에너빌리티,034020,2.65%,"115,700","상승 4,700",+4.23%,"4,773,848","113,500","116,400","112,600",876.52,1.11
2026-04-22T01:45:56+09:00,7,삼성전기,009150,2.51%,"772,000","상승 92,000",+13.53%,"1,092,504","687,000","779,000","686,000",84.84,7.70
2026-04-22T01:45:56+09:00,8,POSCO홀딩스,005490,2.44%,"421,500","상승 32,000",+8.22%,"1,024,414","398,000","422,000","396,000",52.13,1.18
2026-04-22T01:45:56+09:00,9,에코프로,086520,2.17%,"163,700","상승 8,100",+5.21%,"2,443,999","159,700","164,800","157,100",-148.41,-8.39
2026-04-22T01:45:56+09:00,10,LG에너지솔루션,373220,2.09%,"478,000","상승 49,000",+11.42%,"1,363,543","441,500","478,000","434,000",-104.25,-5.19
2026-04-22T01:45:56+09:00,11,씨아이에스,222080,1.81%,"16,310","상한가 3,760",+29.96%,"43,748,247","12,940","16,310","12,910",43.96,5.83
2026-04-22T01:45:56+09:00,12,주성엔지니어링,036930,1.78%,"118,900","상한가 27,400",+29.95%,"10,101,846","95,900","118,900","93,400",157.48,6.17
2026-04-22T01:45:56+09:00,13,LIG디펜스앤에어로스페이스,079550,1.71%,"909,000","하락 12,000",-1.30%,"165,856","918,000","929,000","899,000",78.93,19.20
2026-04-22T01:45:56+09:00,14,삼천당제약,000250,1.69%,"475,500","하락 2,000",-0.42%,"246,604","490,500","502,000","461,000","2,122.77",1.94
2026-04-22T01:45:56+09:00,15,대한광통신,010170,1.48%,"15,700",상승 510,+3.36%,"35,364,670","15,380","15,870","14,020",-64.88,-52.05
2026-04-22T01:45:56+09:00,16,NAVER,035420,1.40%,"214,000",상승 500,+0.23%,"541,313","215,000","215,500","211,500",17.29,7.37
2026-04-22T01:45:56+09:00,17,삼성중공업,010140,1.37%,"30,200","상승 1,650",+5.78%,"7,744,560","28,750","30,450","28,650",48.71,13.74
2026-04-22T01:45:56+09:00,18,에코프로비엠,247540,1.34%,"220,500","상승 10,500",+5.00%,"962,694","214,000","220,500","211,000",547.15,2.29
2026-04-22T01:45:56+09:00,19,한화오션,042660,1.20%,"131,200","상승 2,500",+1.94%,"1,915,814","129,500","131,200","128,400",32.27,22.59
2026-04-22T01:45:56+09:00,20,하이브,352820,1.13%,"249,000","하락 6,000",-2.35%,"456,634","258,000","258,000","244,000",-43.89,-7.33
2026-04-22T01:45:56+09:00,21,GS건설,006360,1.11%,"43,100","상승 5,050",+13.27%,"10,077,932","39,100","44,450","39,000",39.43,2.03
2026-04-22T01:45:56+09:00,22,대한전선,001440,1.09%,"41,550","상승 1,150",+2.85%,"10,591,177","40,600","42,850","40,500",91.92,5.48
2026-04-22T01:45:56+09:00,23,한미반도체,042700,1.06%,"295,000","상승 8,000",+2.79%,"495,400","287,500","295,000","287,500",132.11,34.76
2026-04-22T01:45:56+09:00,24,미래에셋증권,006800,0.90%,"68,800",하락 200,-0.29%,"2,185,006","69,900","70,200","68,000",31.94,12.36
2026-04-22T01:45:56+09:00,25,엘앤에프,066970,0.87%,"196,400","상승 12,700",+6.91%,"1,447,273","189,100","197,000","180,000",-13.65,-76.95
2026-04-22T01:45:56+09:00,26,포스코퓨처엠,003670,0.86%,"256,500","상승 20,000",+8.46%,"743,637","242,000","257,000","239,000",664.51,0.92
2026-04-22T01:45:56+09:00,27,삼성E&A,028050,0.85%,"51,700","상승 2,400",+4.87%,"3,496,390","49,900","52,400","49,700",16.41,13.76
2026-04-22T01:45:56+09:00,28,HD현대중공업,329180,0.84%,"576,000","상승 52,000",+9.92%,"755,399","532,000","578,000","529,000",36.68,18.82
2026-04-22T01:45:56+09:00,29,한화솔루션,009830,0.82%,"45,450","상승 2,450",+5.70%,"3,871,235","43,650","45,900","43,000",-12.19,-7.01
2026-04-22T01:45:56+09:00,30,펄어비스,263750,0.79%,"54,400",상승 400,+0.74%,"617,819","53,700","55,100","53,300",-415.27,-1.05
2026-04-22T02:37:54+09:00,1,삼성전자,005930,10.01%,"219,000","상승 4,500",+2.10%,"16,705,245","218,000","220,000","216,000",33.36,10.85
2026-04-22T02:37:54+09:00,2,SK하이닉스,000660,7.42%,"1,224,000","상승 58,000",+4.97%,"3,135,003","1,196,000","1,228,000","1,193,000",20.76,44.15
2026-04-22T02:37:54+09:00,3,삼성SDI,006400,4.77%,"645,000","상승 107,000",+19.89%,"2,532,223","570,000","648,000","557,000",-77.48,-3.15
2026-04-22T02:37:54+09:00,4,현대차,005380,3.38%,"546,000","상승 19,000",+3.61%,"946,609","534,000","548,000","530,000",15.45,8.41
2026-04-22T02:37:54+09:00,5,대우건설,047040,3.20%,"32,850","상승 4,750",+16.90%,"94,197,868","28,950","34,650","28,850",-14.97,-23.89
2026-04-22T02:37:54+09:00,6,두산에너빌리티,034020,2.65%,"115,700","상승 4,700",+4.23%,"4,773,848","113,500","116,400","112,600",876.52,1.11
2026-04-22T02:37:54+09:00,7,삼성전기,009150,2.51%,"772,000","상승 92,000",+13.53%,"1,092,504","687,000","779,000","686,000",84.84,7.70
2026-04-22T02:37:54+09:00,8,POSCO홀딩스,005490,2.44%,"421,500","상승 32,000",+8.22%,"1,024,414","398,000","422,000","396,000",52.13,1.18
2026-04-22T02:37:54+09:00,9,에코프로,086520,2.17%,"163,700","상승 8,100",+5.21%,"2,443,999","159,700","164,800","157,100",-148.41,-8.39
2026-04-22T02:37:54+09:00,10,LG에너지솔루션,373220,2.09%,"478,000","상승 49,000",+11.42%,"1,363,543","441,500","478,000","434,000",-104.25,-5.19
2026-04-22T02:37:54+09:00,11,씨아이에스,222080,1.81%,"16,310","상한가 3,760",+29.96%,"43,748,247","12,940","16,310","12,910",43.96,5.83
2026-04-22T02:37:54+09:00,12,주성엔지니어링,036930,1.78%,"118,900","상한가 27,400",+29.95%,"10,101,846","95,900","118,900","93,400",157.48,6.17
2026-04-22T02:37:54+09:00,13,LIG디펜스앤에어로스페이스,079550,1.71%,"909,000","하락 12,000",-1.30%,"165,856","918,000","929,000","899,000",78.93,19.20
2026-04-22T02:37:54+09:00,14,삼천당제약,000250,1.69%,"475,500","하락 2,000",-0.42%,"246,604","490,500","502,000","461,000","2,122.77",1.94
2026-04-22T02:37:54+09:00,15,대한광통신,010170,1.48%,"15,700",상승 510,+3.36%,"35,364,670","15,380","15,870","14,020",-64.88,-52.05
2026-04-22T02:37:54+09:00,16,NAVER,035420,1.40%,"214,000",상승 500,+0.23%,"541,313","215,000","215,500","211,500",17.29,7.37
2026-04-22T02:37:54+09:00,17,삼성중공업,010140,1.37%,"30,200","상승 1,650",+5.78%,"7,744,560","28,750","30,450","28,650",48.71,13.74
2026-04-22T02:37:54+09:00,18,에코프로비엠,247540,1.34%,"220,500","상승 10,500",+5.00%,"962,694","214,000","220,500","211,000",547.15,2.29
2026-04-22T02:37:54+09:00,19,한화오션,042660,1.20%,"131,200","상승 2,500",+1.94%,"1,915,814","129,500","131,200","128,400",32.27,22.59
2026-04-22T02:37:54+09:00,20,하이브,352820,1.13%,"249,000","하락 6,000",-2.35%,"456,634","258,000","258,000","244,000",-43.89,-7.33
2026-04-22T02:37:54+09:00,21,GS건설,006360,1.11%,"43,100","상승 5,050",+13.27%,"10,077,932","39,100","44,450","39,000",39.43,2.03
2026-04-22T02:37:54+09:00,22,대한전선,001440,1.09%,"41,550","상승 1,150",+2.85%,"10,591,177","40,600","42,850","40,500",91.92,5.48
2026-04-22T02:37:54+09:00,23,한미반도체,042700,1.06%,"295,000","상승 8,000",+2.79%,"495,400","287,500","295,000","287,500",132.11,34.76
2026-04-22T02:37:54+09:00,24,미래에셋증권,006800,0.90%,"68,800",하락 200,-0.29%,"2,185,006","69,900","70,200","68,000",31.94,12.36
2026-04-22T02:37:54+09:00,25,엘앤에프,066970,0.87%,"196,400","상승 12,700",+6.91%,"1,447,273","189,100","197,000","180,000",-13.65,-76.95
2026-04-22T02:37:54+09:00,26,포스코퓨처엠,003670,0.86%,"256,500","상승 20,000",+8.46%,"743,637","242,000","257,000","239,000",664.51,0.92
2026-04-22T02:37:54+09:00,27,삼성E&A,028050,0.85%,"51,700","상승 2,400",+4.87%,"3,496,390","49,900","52,400","49,700",16.41,13.76
2026-04-22T02:37:54+09:00,28,HD현대중공업,329180,0.84%,"576,000","상승 52,000",+9.92%,"755,399","532,000","578,000","529,000",36.68,18.82
2026-04-22T02:37:54+09:00,29,한화솔루션,009830,0.82%,"45,450","상승 2,450",+5.70%,"3,871,235","43,650","45,900","43,000",-12.19,-7.01
2026-04-22T02:37:54+09:00,30,펄어비스,263750,0.79%,"54,400",상승 400,+0.74%,"617,819","53,700","55,100","53,300",-415.27,-1.05
2026-04-22T02:46:59+09:00,1,삼성전자,005930,10.01%,"219,000","상승 4,500",+2.10%,"16,705,245","218,000","220,000","216,000",33.36,10.85
2026-04-22T02:46:59+09:00,2,SK하이닉스,000660,7.42%,"1,224,000","상승 58,000",+4.97%,"3,135,003","1,196,000","1,228,000","1,193,000",20.76,44.15
2026-04-22T02:46:59+09:00,3,삼성SDI,006400,4.77%,"645,000","상승 107,000",+19.89%,"2,532,223","570,000","648,000","557,000",-77.48,-3.15
2026-04-22T02:46:59+09:00,4,현대차,005380,3.38%,"546,000","상승 19,000",+3.61%,"946,609","534,000","548,000","530,000",15.45,8.41
2026-04-22T02:46:59+09:00,5,대우건설,047040,3.20%,"32,850","상승 4,750",+16.90%,"94,197,868","28,950","34,650","28,850",-14.97,-23.89
2026-04-22T02:46:59+09:00,6,두산에너빌리티,034020,2.65%,"115,700","상승 4,700",+4.23%,"4,773,848","113,500","116,400","112,600",876.52,1.11
2026-04-22T02:46:59+09:00,7,삼성전기,009150,2.51%,"772,000","상승 92,000",+13.53%,"1,092,504","687,000","779,000","686,000",84.84,7.70
2026-04-22T02:46:59+09:00,8,POSCO홀딩스,005490,2.44%,"421,500","상승 32,000",+8.22%,"1,024,414","398,000","422,000","396,000",52.13,1.18
2026-04-22T02:46:59+09:00,9,에코프로,086520,2.17%,"163,700","상승 8,100",+5.21%,"2,443,999","159,700","164,800","157,100",-148.41,-8.39
2026-04-22T02:46:59+09:00,10,LG에너지솔루션,373220,2.09%,"478,000","상승 49,000",+11.42%,"1,363,543","441,500","478,000","434,000",-104.25,-5.19
2026-04-22T02:46:59+09:00,11,씨아이에스,222080,1.81%,"16,310","상한가 3,760",+29.96%,"43,748,247","12,940","16,310","12,910",43.96,5.83
2026-04-22T02:46:59+09:00,12,주성엔지니어링,036930,1.78%,"118,900","상한가 27,400",+29.95%,"10,101,846","95,900","118,900","93,400",157.48,6.17
2026-04-22T02:46:59+09:00,13,LIG디펜스앤에어로스페이스,079550,1.71%,"909,000","하락 12,000",-1.30%,"165,856","918,000","929,000","899,000",78.93,19.20
2026-04-22T02:46:59+09:00,14,삼천당제약,000250,1.69%,"475,500","하락 2,000",-0.42%,"246,604","490,500","502,000","461,000","2,122.77",1.94
2026-04-22T02:46:59+09:00,15,대한광통신,010170,1.48%,"15,700",상승 510,+3.36%,"35,364,670","15,380","15,870","14,020",-64.88,-52.05
2026-04-22T02:46:59+09:00,16,NAVER,035420,1.40%,"214,000",상승 500,+0.23%,"541,313","215,000","215,500","211,500",17.29,7.37
2026-04-22T02:46:59+09:00,17,삼성중공업,010140,1.37%,"30,200","상승 1,650",+5.78%,"7,744,560","28,750","30,450","28,650",48.71,13.74
2026-04-22T02:46:59+09:00,18,에코프로비엠,247540,1.34%,"220,500","상승 10,500",+5.00%,"962,694","214,000","220,500","211,000",547.15,2.29
2026-04-22T02:46:59+09:00,19,한화오션,042660,1.20%,"131,200","상승 2,500",+1.94%,"1,915,814","129,500","131,200","128,400",32.27,22.59
2026-04-22T02:46:59+09:00,20,하이브,352820,1.13%,"249,000","하락 6,000",-2.35%,"456,634","258,000","258,000","244,000",-43.89,-7.33
2026-04-22T02:46:59+09:00,21,GS건설,006360,1.11%,"43,100","상승 5,050",+13.27%,"10,077,932","39,100","44,450","39,000",39.43,2.03
2026-04-22T02:46:59+09:00,22,대한전선,001440,1.09%,"41,550","상승 1,150",+2.85%,"10,591,177","40,600","42,850","40,500",91.92,5.48
2026-04-22T02:46:59+09:00,23,한미반도체,042700,1.06%,"295,000","상승 8,000",+2.79%,"495,400","287,500","295,000","287,500",132.11,34.76
2026-04-22T02:46:59+09:00,24,미래에셋증권,006800,0.90%,"68,800",하락 200,-0.29%,"2,185,006","69,900","70,200","68,000",31.94,12.36
2026-04-22T02:46:59+09:00,25,엘앤에프,066970,0.87%,"196,400","상승 12,700",+6.91%,"1,447,273","189,100","197,000","180,000",-13.65,-76.95
